"","Var1","Var2","Var3","Var4"
"1","00","00","00","00"
"2","01","00","00","00"
"3","10","00","00","00"
"4","00","01","00","00"
"5","01","01","00","00"
"6","10","01","00","00"
"7","00","10","00","00"
"8","01","10","00","00"
"9","10","10","00","00"
"10","00","00","01","00"
"11","01","00","01","00"
"12","10","00","01","00"
"13","00","01","01","00"
"14","01","01","01","00"
"15","10","01","01","00"
"16","00","10","01","00"
"17","01","10","01","00"
"18","10","10","01","00"
"19","00","00","10","00"
"20","01","00","10","00"
"21","10","00","10","00"
"22","00","01","10","00"
"23","01","01","10","00"
"24","10","01","10","00"
"25","00","10","10","00"
"26","01","10","10","00"
"27","10","10","10","00"
"28","00","00","00","01"
"29","01","00","00","01"
"30","10","00","00","01"
"31","00","01","00","01"
"32","01","01","00","01"
"33","10","01","00","01"
"34","00","10","00","01"
"35","01","10","00","01"
"36","10","10","00","01"
"37","00","00","01","01"
"38","01","00","01","01"
"39","10","00","01","01"
"40","00","01","01","01"
"41","01","01","01","01"
"42","10","01","01","01"
"43","00","10","01","01"
"44","01","10","01","01"
"45","10","10","01","01"
"46","00","00","10","01"
"47","01","00","10","01"
"48","10","00","10","01"
"49","00","01","10","01"
"50","01","01","10","01"
"51","10","01","10","01"
"52","00","10","10","01"
"53","01","10","10","01"
"54","10","10","10","01"
"55","00","00","00","10"
"56","01","00","00","10"
"57","10","00","00","10"
"58","00","01","00","10"
"59","01","01","00","10"
"60","10","01","00","10"
"61","00","10","00","10"
"62","01","10","00","10"
"63","10","10","00","10"
"64","00","00","01","10"
"65","01","00","01","10"
"66","10","00","01","10"
"67","00","01","01","10"
"68","01","01","01","10"
"69","10","01","01","10"
"70","00","10","01","10"
"71","01","10","01","10"
"72","10","10","01","10"
"73","00","00","10","10"
"74","01","00","10","10"
"75","10","00","10","10"
"76","00","01","10","10"
"77","01","01","10","10"
"78","10","01","10","10"
"79","00","10","10","10"
"80","01","10","10","10"
"81","10","10","10","10"
