"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha.psi",-4.86212433333333,0.886974321701033,-6.55905,-5.49925,-4.802,-4.216,-3.307975,1.01979347732365,120
"beta1.psi",1.17444043933333,0.32308257323361,0.548,0.953249996065815,1.174,1.38824993248514,1.81404997314518,1.00374966316119,1200
"beta2.psi",2.788888,0.435167976585228,1.991,2.487,2.776,3.07,3.707,1.00447844365027,600
"beta3.psi",0.5798605874,0.304070228363832,-0.0199875,0.37725,0.57735,0.788725,1.172,1.00158282550038,1800
"beta4.psi",0.132683706766667,0.624064658298181,-1.06125,-0.2935,0.1043,0.533,1.436175,1.01451003364065,210
"beta5.psi",0.052712689,0.354848808444948,-0.6419425,-0.18,0.05511,0.28995,0.7543175,1.00059571300528,3000
"beta6.psi",0.31339338301,0.444042654363663,-0.5243475,0.007118,0.3106,0.614725,1.214,1.0044424571767,510
"beta7.psi",0.157475338866667,0.400157448475574,-0.6253625,-0.1097,0.15645,0.4257,0.9648225,1.00633998472921,340
"mean.p",0.486578033333333,0.0666282774547295,0.35828999455363,0.441349991502058,0.486449997430363,0.531924998237644,0.619812495086709,1.00124888893152,2700
"occ.fs",128.579,7.79452867245621,116,123,128,133,146,1.00317202373579,750
"alpha.p",-0.05467008436,0.271471282265639,-0.582645,-0.235775,-0.054195,0.12795,0.4887525,1.00114780862114,3000
"beta1.p",2.0878902,0.39277315407346,1.38787477996253,1.809,2.06,2.343,2.91302499581711,1.00057714973887,3000
"beta2.p",-0.649036573666667,0.21058167589125,-1.06205,-0.794075,-0.65575,-0.510375,-0.2268425,1.00211794499446,1200
"beta3.p",0.0123506515333333,0.192224138800437,-0.372065,-0.114925,0.01345,0.144725,0.3801,1.00269616841357,910
"beta5.p",-0.510064955333333,0.170583308163914,-0.8501025,-0.619425,-0.50755,-0.3967,-0.1677775,1.00054208543043,3000
"deviance",275.879766666667,26.7457141430279,229.292495212295,256.3,274.1,293.3,334.5,1.00341131132723,690
