"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha.psi",-7.16898966666667,0.660914126081374,-8.479025,-7.624,-7.157,-6.71,-5.9489,1.01344587613475,160
"betahabqi.psi",0.637604433333333,0.0670485048628752,0.5151,0.5926,0.6377,0.682724998626893,0.7709,1.01617079452405,140
"mean.p",0.4964616,0.0672630708413341,0.364984987966428,0.4512,0.4959,0.5429,0.627412495146195,1.00664326736012,330
"occ.fs",124.521666666667,6.48188775320667,114,120,124,128,139,1.00065042749383,3000
"alpha.p",-0.0143746543,0.274078885461469,-0.5538625,-0.19575,-0.016415,0.1719,0.5209625,1.00699336685132,310
"beta1.p",2.17750003333333,0.395760194074312,1.45194996639514,1.90174995069466,2.16249994219653,2.436,3.01202499595457,1.00200345074819,1300
"beta2.p",-0.606593163333333,0.221506523751442,-1.041025,-0.758925,-0.6122,-0.451425,-0.170425,1.00097208761502,3000
"beta3.p",-0.0434074846733333,0.188194603446618,-0.411415,-0.169775,-0.042765,0.08403,0.3167125,1.00136869818672,2300
"beta5.p",-0.493218488333333,0.176596182825921,-0.8401425,-0.609525,-0.4897,-0.373525,-0.14859,1.00158181898068,1800
"deviance",263.339333333333,23.825980609541,222.797499452823,246.4,261.449995218971,278.5,314.702499612808,1.00060031947772,3000
