"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha.psi",-6.25442233333333,0.605760230168153,-7.496,-6.632,-6.241,-5.82975,-5.1557,1.01086987531666,260
"betahabqi.psi",0.4233388,0.0474603522557381,0.336189994195334,0.390174997597027,0.421849997036861,0.4541,0.519404999061655,1.00893481946801,290
"mean.p",0.507510733333333,0.06643005722033,0.3785,0.462349991888092,0.507099990140012,0.5536,0.637302499808783,1.00115245386608,3000
"occ.fs",123.759666666667,6.30723132162893,113,119,123,128,138,1.00105233540633,3000
"alpha.p",0.0306717473166667,0.270627413155402,-0.4959025,-0.15085,0.02848,0.215325,0.563715,1.00132942972896,2400
"beta1.p",2.20896196666667,0.403038579198369,1.47294996687466,1.934,2.19249994298746,2.469,3.07907496439844,1.00472881842339,510
"beta2.p",-0.55136243,0.218933919022587,-0.97125,-0.701025,-0.553,-0.398775,-0.1129875,1.00068966912277,3000
"beta3.p",-0.0778824161333333,0.19499537651194,-0.4716725,-0.202575,-0.07185,0.0477675,0.30132,1.00107320893981,3000
"beta5.p",-0.5134069058,0.178751936258483,-0.85812,-0.63055,-0.51005,-0.395375,-0.1637125,1.00236170993869,1100
"deviance",260.742233333333,23.9882066378069,219.2,243.2,259.1,276.1,311.4,1.00120662581703,2800
