"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha.psi",-6.17648266666667,0.568132601819891,-7.28805,-6.55725,-6.1865,-5.7785,-5.071,1.00556400595906,630
"betahabqi.psi",0.417303133333333,0.0444142314072797,0.331297499632058,0.385474997567725,0.418449997012785,0.44632499789967,0.504704999034332,1.00554685755904,820
"mean.p",0.508597066666667,0.0663522689332707,0.382497499681318,0.461674997969204,0.5068,0.554324998308856,0.638112495227544,1.00580919622922,380
"occ.fs",123.701666666667,6.24742672378892,113,119,123,127,137,1.00262167247493,1200
"alpha.p",0.0351424361166667,0.270141355098658,-0.4789075,-0.15355,0.02733,0.2183,0.5670525,1.00632301535476,350
"beta1.p",2.21090966666667,0.412968221243646,1.46784970031733,1.926,2.189,2.48324996225212,3.07612490105272,1.00554918387013,400
"beta2.p",-0.551459952,0.22013552607441,-0.9804025,-0.6995,-0.5505,-0.405275,-0.120249999999999,1.00277587334686,880
"beta3.p",-0.07671165174,0.194733193011079,-0.4620125,-0.19615,-0.07319,0.054085,0.292605,1.00092462808167,3000
"beta5.p",-0.51440048527,0.174180091333571,-0.858935,-0.6304,-0.51305,-0.399125,-0.173635,1.00141180576865,2200
"deviance",260.474333333333,23.9981443351925,218.7,243.3,259,275.2,311.2,1.00240709043695,1100
