"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha.psi",-9.80393333333333,1.67355159437807,-12.89,-10.9825,-9.873,-8.686,-6.526,1.20868588891542,15
"beta1.psi",1.16471766666667,0.328466959340589,0.4867,0.956,1.161,1.379,1.826,1.0644353857765,40
"beta2.psi",2.77240583333333,0.419127658514278,2.07,2.475,2.751,3.034,3.67902499668787,1.01895020053031,260
"beta3.psi",0.5694921625,0.319280916701509,-0.0624205,0.357475,0.5738,0.777125,1.215,1.0121964407697,200
"beta4.psi",-0.0723300303166667,0.546713883207167,-1.194025,-0.44575,-0.06879,0.327075,0.920134999999999,1.12748284623365,23
"beta5.psi",0.0514792865133333,0.340824372144469,-0.6013275,-0.19025,0.05319,0.2748,0.742634999999999,1.0048778520034,1300
"beta6.psi",0.397498828163333,0.42466880283829,-0.3861175,0.101075,0.37315,0.69175,1.258025,1.07782542235905,31
"beta7.psi",0.179295107788333,0.4064400290066,-0.6050325,-0.09997,0.1803,0.445025,0.9834325,1.00757411166813,320
"mean.p",0.487318216666667,0.0669973044703101,0.358094998638148,0.4411,0.4873,0.532324998238968,0.617602499802685,1.00123131235809,4100
"occ.fs",128.294166666667,8.01635887672799,115,123,127,133,146,1.0011483821873,5000
"alpha.p",-0.0516927786416667,0.27320235116292,-0.5836225,-0.236625,-0.050975,0.12955,0.479215,1.00130167753954,3600
"beta1.p",2.09739196666667,0.395701162799032,1.36694996430358,1.825,2.074,2.35624996021783,2.921,1.00104729124716,6000
"beta2.p",-0.655659918333333,0.216490320119487,-1.071,-0.802125,-0.6602,-0.51045,-0.2220975,1.00107271046535,6000
"beta3.p",0.0163575730166667,0.193188295840031,-0.37264,-0.1111,0.01626,0.1448,0.3842125,1.00074838260915,6000
"beta5.p",-0.505993741833333,0.168749728033284,-0.843905,-0.614325,-0.5067,-0.3951,-0.1689925,1.00149092324892,2700
"deviance",274.545283333333,27.1099171095623,227.397499463895,255.5,272.3,292,333,1.00100079244806,6000
