"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha.psi",-9.81849786666667,1.7421873811735,-13.29,-10.97,-9.764,-8.704,-6.23285,1.02948841738771,130
"beta1.psi",1.0898187252,0.346963962716008,0.419885,0.8574,1.085,1.313,1.793025,1.00691914521384,670
"beta2.psi",2.8633186,0.46684165035103,2.043,2.529,2.823,3.163,3.859,1.00296163192528,2100
"beta3.psi",0.564787454588,0.336350997828227,-0.1074125,0.3394,0.5689,0.793225,1.208,1.01087751767092,300
"beta4.psi",-0.116475448461333,0.602337610590867,-1.35605,-0.508025,-0.09714,0.2915,1.041025,1.00620192718584,560
"beta5.psi",0.0226834175373333,0.397495739920159,-0.7448075,-0.2421,0.02416,0.2747,0.8409,1.00420010735724,890
"beta6.psi",0.563291243249733,0.479198601526629,-0.3708275,0.253275,0.54175,0.8752,1.521,1.01762839591121,210
"beta7.psi",0.211714885114333,0.435591343616518,-0.6400075,-0.0807,0.20565,0.5003,1.079,1.02156174635413,180
"mean.p",0.286306857938,0.35456548159721,0.000122592491038783,0.0116074991921005,0.0767749985346793,0.566174627762668,0.9915,1.03518096032797,150
"occ.fs",148.876866666667,12.1375090576264,129,140,148,156,176,1.00132320491268,6100
"alpha.p",-2.16415234074667,3.53727741146402,-9.006075,-4.4445,-2.487,0.26635,4.762075,1.069094019176,90
"beta1.p",2.1984953,0.404077039056675,1.4489749915852,1.918,2.183,2.46,3.04402499599709,1.00104859773545,14000
"beta2.p",0.247878149247067,0.377857812182258,-0.4911025,-0.00990575,0.24025,0.499275,0.9949,1.00300678725114,1400
"beta3.p",0.251300444638667,0.217505821261745,-0.1712025,0.1014,0.25135,0.398025,0.6792025,1.00153003817117,4300
"beta5.p",-0.583656958666667,0.173293372724307,-0.93831,-0.696125,-0.5798,-0.4666,-0.2549975,1.00122167028704,7700
"beta.ajl.p",-8.415606297,6.68740784024661,-22.92025,-12.44,-7.847,-3.8795,2.92525,1.00426426594039,880
"beta.bem.p",-0.10275807842,9.9781619334697,-19.45025,-6.86725,-0.12955,6.645,19.401,1.00118775524619,8400
"beta.bs.p",4.62631135717333,6.64975215115935,-5.778025,0.0496475,3.4095,8.498,20.05025,1.00524605570656,760
"beta.edg.p",4.86212725682667,3.58822332524661,-2.219025,2.403,5.147,7.23325,11.81,1.06327597602721,100
"beta.gc.p",2.40001363965333,3.57631588401087,-4.690025,-0.031065,2.702,4.759,9.294175,1.06608995629708,95
"beta.jfm.p",0.36778653224,3.56409299297949,-6.694,-2.032,0.6721,2.70625,7.25039999999999,1.06813113887511,92
"beta.jpc.p",2.96143073395867,3.53493300253288,-3.92725,0.519325,3.2615,5.29425,9.813,1.0665874660179,92
"beta.kkj.p",1.4510028944,3.5775544736455,-5.65305,-0.9522,1.766,3.793,8.390025,1.0682041555703,93
"beta.man.p",2.78778483479333,3.54037807901133,-4.129025,0.37415,3.076,5.113,9.63605,1.06687704763463,92
"beta.nh.p",-1.34680245012,3.86587598775646,-9.13415,-3.89,-1.1685,1.26725,6.0551,1.05306320897677,110
"beta.ska.p",-8.65760127927333,6.69279796487559,-23.01,-12.74,-8.128,-4.131,2.7813,1.00451189003263,820
"deviance",282.967313333333,27.0895153956553,235.3,263.9,280.9,300.3,341.1,1.001135380342,9900
